from,to,percent,number,absvalue,lat,lng,source,target
荆州市,孝感市,1.95,12080.663999999999,235.57294799999997,30.335000380826443,112.23899990797712,9,7
荆州市,黄冈市,1.61,12080.663999999999,194.4986904,30.335000380826443,112.23899990797712,9,12
荆州市,襄阳市,1.59,12080.663999999999,192.0825576,30.335000380826443,112.23899990797712,9,13
荆州市,随州市,0.75,12080.663999999999,90.60498,30.335000380826443,112.23899990797712,9,1
荆州市,黄石市,0.59,12080.663999999999,71.2759176,30.335000380826443,112.23899990797712,9,3
荆州市,十堰市,0.52,12080.663999999999,62.8194528,30.335000380826443,112.23899990797712,9,11
荆州市,鄂州市,0.4,12080.663999999999,48.322655999999995,30.335000380826443,112.23899990797712,9,8
襄阳市,十堰市,13.87,9535.644,1322.5938228,32.00900052477173,112.12199980021491,13,11
襄阳市,武汉市,10.86,9535.644,1035.5709384,32.00900052477173,112.12199980021491,13,15
襄阳市,随州市,6.26,9535.644,596.9313144,32.00900052477173,112.12199980021491,13,1
襄阳市,荆门市,4.96,9535.644,472.9679424,32.00900052477173,112.12199980021491,13,5
襄阳市,宜昌市,4.53,9535.644,431.96467320000005,32.00900052477173,112.12199980021491,13,16
襄阳市,孝感市,2.68,9535.644,255.55525920000002,32.00900052477173,112.12199980021491,13,7
襄阳市,荆州市,2.36,9535.644,225.04119839999998,32.00900052477173,112.12199980021491,13,9
襄阳市,黄冈市,1.64,9535.644,156.38456159999998,32.00900052477173,112.12199980021491,13,12
襄阳市,天门市,0.97,9535.644,92.49574679999999,32.00900052477173,112.12199980021491,13,14
襄阳市,恩施土家族苗族自治州,0.96,9535.644,91.5421824,32.00900052477173,112.12199980021491,13,10
襄阳市,黄石市,0.77,9535.644,73.4244588,32.00900052477173,112.12199980021491,13,3
襄阳市,咸宁市,0.63,9535.644,60.0745572,32.00900052477173,112.12199980021491,13,0
襄阳市,仙桃市,0.6,9535.644,57.213864,32.00900052477173,112.12199980021491,13,2
襄阳市,神农架林区,0.55,9535.644,52.446042000000006,32.00900052477173,112.12199980021491,13,4
襄阳市,鄂州市,0.41,9535.644,39.096140399999996,32.00900052477173,112.12199980021491,13,8
襄阳市,潜江市,0.39,9535.644,37.1890116,32.00900052477173,112.12199980021491,13,6
鄂州市,武汉市,35.03,6036.444,2114.5663332000004,30.390900497976883,114.89499986501862,8,15
鄂州市,黄石市,32.79,6036.444,1979.3499876,30.390900497976883,114.89499986501862,8,3
鄂州市,黄冈市,10.21,6036.444,616.3209324000001,30.390900497976883,114.89499986501862,8,12
鄂州市,咸宁市,1.99,6036.444,120.12523560000001,30.390900497976883,114.89499986501862,8,0
鄂州市,孝感市,1.92,6036.444,115.8997248,30.390900497976883,114.89499986501862,8,7
鄂州市,荆州市,1.36,6036.444,82.09563840000001,30.390900497976883,114.89499986501862,8,9
鄂州市,襄阳市,0.91,6036.444,54.931640400000006,30.390900497976883,114.89499986501862,8,13
鄂州市,宜昌市,0.81,6036.444,48.8951964,30.390900497976883,114.89499986501862,8,16
鄂州市,荆门市,0.66,6036.444,39.840530400000006,30.390900497976883,114.89499986501862,8,5
鄂州市,恩施土家族苗族自治州,0.6,6036.444,36.218664000000004,30.390900497976883,114.89499986501862,8,10
鄂州市,随州市,0.5,6036.444,30.18222,30.390900497976883,114.89499986501862,8,1
鄂州市,仙桃市,0.39,6036.444,23.5421316,30.390900497976883,114.89499986501862,8,2
鄂州市,十堰市,0.32,6036.444,19.3166208,30.390900497976883,114.89499986501862,8,11
鄂州市,天门市,0.3,6036.444,18.109332000000002,30.390900497976883,114.89499986501862,8,14
鄂州市,潜江市,0.2,6036.444,12.072888,30.390900497976883,114.89499986501862,8,6
武汉市,孝感市,14.24,83070.036,11829.1731264,30.592799572064738,114.30500043085405,15,7
武汉市,黄冈市,12.45,83070.036,10342.219481999999,30.592799572064738,114.30500043085405,15,12
武汉市,荆州市,7.29,83070.036,6055.805624399999,30.592799572064738,114.30500043085405,15,9
武汉市,咸宁市,4.75,83070.036,3945.82671,30.592799572064738,114.30500043085405,15,0
武汉市,襄阳市,4.08,83070.036,3389.2574688,30.592799572064738,114.30500043085405,15,13
武汉市,黄石市,3.7,83070.036,3073.591332,30.592799572064738,114.30500043085405,15,3
武汉市,荆门市,3.59,83070.036,2982.2142923999995,30.592799572064738,114.30500043085405,15,5
武汉市,鄂州市,3.53,83070.036,2932.3722708,30.592799572064738,114.30500043085405,15,8
